wl;n;k
0.495302;1.48073;3.45066
0.495857;1.48204;3.45426
0.496412;1.48334;3.45786
0.49697;1.48466;3.46147
0.497528;1.48597;3.46508
0.498088;1.48729;3.4687
0.498649;1.48862;3.47232
0.499211;1.48995;3.47596
0.499774;1.49128;3.47959
0.500339;1.49261;3.48324
0.500905;1.49395;3.48689
0.501472;1.4953;3.49054
0.502041;1.49665;3.49421
0.502611;1.498;3.49788
0.503182;1.49935;3.50155
0.503755;1.50071;3.50523
0.504328;1.50208;3.50892
0.504903;1.50344;3.51261
0.50548;1.50482;3.51631
0.506057;1.50619;3.52002
0.506637;1.50757;3.52373
0.507217;1.50895;3.52745
0.507799;1.51034;3.53118
0.508382;1.51174;3.53491
0.508966;1.51313;3.53865
0.509552;1.51453;3.54239
0.510139;1.51594;3.54614
0.510727;1.51735;3.5499
0.511317;1.51876;3.55366
0.511908;1.52018;3.55743
0.512501;1.5216;3.56121
0.513095;1.52302;3.56499
0.51369;1.52445;3.56878
0.514286;1.52589;3.57257
0.514884;1.52733;3.57637
0.515484;1.52877;3.58018
0.516085;1.53022;3.584
0.516687;1.53167;3.58782
0.517291;1.53312;3.59164
0.517896;1.53459;3.59548
0.518502;1.53605;3.59932
0.51911;1.53752;3.60316
0.519719;1.53899;3.60702
0.52033;1.54047;3.61088
0.520942;1.54195;3.61474
0.521556;1.54344;3.61862
0.522171;1.54493;3.6225
0.522787;1.54643;3.62638
0.523405;1.54793;3.63027
0.524025;1.54944;3.63417
0.524646;1.55095;3.63808
0.525268;1.55246;3.64199
0.525892;1.55398;3.64591
0.526517;1.5555;3.64983
0.527144;1.55703;3.65377
0.527772;1.55857;3.65771
0.528402;1.5601;3.66165
0.529034;1.56165;3.6656
0.529666;1.56319;3.66956
0.530301;1.56474;3.67353
0.530937;1.5663;3.6775
0.531574;1.56786;3.68148
0.532213;1.56943;3.68546
0.532854;1.571;3.68945
0.533496;1.57258;3.69345
0.534139;1.57416;3.69746
0.534784;1.57574;3.70147
0.535431;1.57733;3.70549
0.536079;1.57893;3.70951
